batting_average,batting_strike_rate,ducks,fifties,highest_score,hundreds,innings_batted,last_played_year,matches_played,not_outs,player,playing_span,runs,start_year,team_name
18.71,112.93,0,0,32,0,11,2017,15,4,JP Faulkner,,131,2016,Gujarat Lions
31.45,144.46,3,7,74,0,25,2017,26,3,AJ Finch,,692,2016,Gujarat Lions
0.0,166.66,0,0,5,0,1,2012,6,1,KMDN Kulasekara,,5,2011,Chennai Super Kings
4.0,44.44,1,0,4,0,2,2013,2,1,B Laughlin,,4,2013,Chennai Super Kings
41.22,131.79,0,3,101,1,22,2017,23,4,SPD Smith,,742,2016,Rising Pune Supergiants
31.6,142.98,0,1,103,1,11,2017,12,1,BA Stokes,,316,2017,Rising Pune Supergiants
21.91,121.44,4,0,49,0,39,2024,43,16,KH Pandya,,504,2022,Lucknow Super Giants
42.85,175.97,3,5,75,0,29,2024,29,9,N Pooran,,857,2023,Lucknow Super Giants
29.0,193.33,1,0,39,0,7,2017,8,3,BCJ Cutting,,116,2016,Sunrisers Hyderabad
0.0,0.0,0,0,,0,0,2023,3,0,MJ Dagar,,0,2023,Sunrisers Hyderabad
14.75,103.5,2,0,14,0,12,2017,38,8,S Aravind,,59,2011,Royal Challengers Bangalore
9.6,104.34,1,0,19,0,7,2013,16,2,KB Arun Karthik,,48,2011,Royal Challengers Bangalore
20.3,129.84,7,0,48,0,54,2019,72,18,STR Binny,,731,2011,Rajasthan Royals
30.45,114.72,0,1,67,0,19,2012,24,8,J Botha,,335,2009,Rajasthan Royals
1.5,33.33,1,0,3,0,2,2024,2,0,RK Bhui,,3,2024,Delhi Daredevils
22.6,134.52,1,2,55,0,10,2017,11,0,SW Billings,,226,2016,Delhi Daredevils
4.0,80.0,0,0,3,0,2,2009,6,1,FH Edwards,,4,2009,Deccan Chargers
26.83,111.96,4,5,69,0,33,2010,33,3,HH Gibbs,,805,2008,Deccan Chargers
20.2,110.38,2,0,37,0,13,2011,14,3,PA Patel,,202,2011,Kochi Tuskers Kerala
11.5,85.18,0,0,22,0,2,2011,4,0,NLTC Perera,,23,2011,Kochi Tuskers Kerala
8.0,160.0,0,0,8,0,1,2010,1,0,STR Binny,,8,2010,Mumbai Indians
17.14,133.33,1,1,51,0,7,2012,7,0,AC Blizzard,,120,2011,Mumbai Indians
13.25,122.3,0,0,26,0,22,2013,46,10,R Bhatia,,159,2011,Kolkata Knight Riders
2.5,38.46,1,0,2,0,4,2022,5,2,VG Arora,,5,2022,Kings XI Punjab
2.5,83.33,1,0,5,0,2,2023,33,0,Mohammed Shami,,5,2022,Gujarat Titans
6.0,100.0,1,0,12,0,2,2024,6,0,DG Nalkande,,12,2022,Gujarat Titans
5.0,55.55,1,0,10,0,2,2011,3,0,AA Jhunjhunwala,,10,2011,Pune Warriors
0.0,0.0,0,0,,0,0,2011,1,0,Kamran Khan,,0,2011,Pune Warriors
0.0,0.0,0,0,,0,0,2017,1,0,MS Gony,,0,2017,Gujarat Lions
21.26,129.14,1,1,61,0,15,2017,16,0,Ishan Kishan,,319,2016,Gujarat Lions
32.34,137.19,0,5,100,1,28,2015,28,2,BB McCullum,,841,2014,Chennai Super Kings
0.0,0.0,0,0,,0,0,2023,2,0,SSB Magala,,0,2023,Chennai Super Kings
0.0,0.0,3,0,0,0,3,2017,12,0,SN Thakur,,0,2017,Rising Pune Supergiants
32.4,137.28,1,2,60,0,13,2017,15,3,MK Tiwary,,324,2017,Rising Pune Supergiants
41.47,130.67,3,10,103,2,38,2024,38,4,KL Rahul,,1410,2022,Lucknow Super Giants
4.0,70.58,1,0,5,0,11,2024,43,5,Ravi Bishnoi,,24,2022,Lucknow Super Giants
2.0,40.0,1,0,4,0,3,2013,3,0,Q de Kock,,6,2013,Sunrisers Hyderabad
34.49,124.28,3,19,92,0,85,2018,85,12,S Dhawan,,2518,2013,Sunrisers Hyderabad
7.66,100.0,1,0,22,0,3,2008,3,0,J Arunkumar,,23,2008,Royal Challengers Bangalore
1.0,50.0,0,0,1,0,1,2018,2,0,M Ashwin,,1,2018,Royal Challengers Bangalore
14.0,118.64,1,0,17,0,17,2024,42,12,TA Boult,,70,2022,Rajasthan Royals
0.0,0.0,0,0,,0,0,2024,6,0,N Burger,,0,2024,Rajasthan Royals
15.0,129.31,0,0,27,0,5,2011,5,0,TR Birt,,75,2011,Delhi Daredevils
7.16,82.69,0,0,23,0,6,2013,6,0,J Botha,,43,2013,Delhi Daredevils
27.11,147.34,4,7,109,1,46,2010,46,1,AC Gilchrist,,1220,2008,Deccan Chargers
2.0,40.0,1,0,4,0,3,2012,9,1,MS Gony,,4,2011,Deccan Chargers
11.0,84.61,1,0,8,0,3,2011,5,2,RR Powar,,11,2011,Kochi Tuskers Kerala
0.0,0.0,0,0,,0,0,2011,1,0,P Prasanth,,0,2011,Kochi Tuskers Kerala
1.0,20.0,1,0,1,0,5,2021,29,4,TA Boult,,1,2020,Mumbai Indians
24.14,122.46,0,0,36,0,8,2022,8,1,SW Billings,,169,2022,Kolkata Knight Riders
5.8,72.5,3,0,10,0,12,2024,65,7,Arshdeep Singh,,29,2019,Kings XI Punjab
3.25,72.22,1,0,7,0,7,2024,23,3,Noor Ahmad,,13,2023,Gujarat Titans
38.0,105.55,0,0,14,0,7,2012,17,6,M Kartik,,38,2011,Pune Warriors
9.3,83.03,1,0,24,0,19,2013,31,9,B Kumar,,93,2011,Pune Warriors
26.84,120.34,1,0,36,0,25,2017,27,12,RA Jadeja,,349,2016,Gujarat Lions
0.0,50.0,0,0,1,0,1,2017,8,1,SB Jakati,,1,2016,Gujarat Lions
0.0,0.0,0,0,,0,0,2012,5,0,VY Mahesh,,0,2012,Chennai Super Kings
17.5,152.17,0,0,13,0,5,2014,12,3,M Manhas,,35,2014,Chennai Super Kings
24.28,120.56,0,2,57,0,8,2016,10,1,SS Tiwary,,170,2016,Rising Pune Supergiants
27.92,146.44,1,2,93,0,14,2017,14,0,RA Tripathi,,391,2017,Rising Pune Supergiants
5.33,64.0,0,0,9,0,3,2023,3,0,KS Sharma,,16,2022,Lucknow Super Giants
0.0,0.0,1,0,0,0,1,2023,1,0,R Shepherd,,0,2023,Lucknow Super Giants
0.0,23.07,0,0,2,0,2,2023,7,2,Fazalhaq Farooqi,,3,2022,Sunrisers Hyderabad
28.09,117.49,0,2,88,0,13,2014,13,2,AJ Finch,,309,2014,Sunrisers Hyderabad
0.0,0.0,0,0,,0,0,2017,1,0,Avesh Khan,,0,2017,Royal Challengers Bangalore
2.6,56.52,2,0,8,0,5,2017,7,0,S Badree,,13,2017,Royal Challengers Bangalore
41.84,147.79,6,18,124,7,82,2024,83,9,JC Buttler,,3055,2018,Rajasthan Royals
20.25,119.11,0,0,39,0,5,2009,5,1,LA Carseldine,,81,2009,Rajasthan Royals
3.5,116.66,1,0,6,0,4,2019,19,2,TA Boult,,7,2018,Delhi Daredevils
0.0,133.33,0,0,12,0,1,2012,1,1,DAJ Bracewell,,12,2012,Delhi Daredevils
0.0,0.0,2,0,0,0,3,2011,17,1,Harmeet Singh,,0,2009,Deccan Chargers
27.75,109.9,0,0,47,0,4,2012,4,0,DJ Harris,,111,2012,Deccan Chargers
13.0,173.33,0,0,23,0,2,2011,3,0,OA Shah,,26,2011,Kochi Tuskers Kerala
0.66,50.0,2,0,1,0,5,2011,14,2,RP Singh,,2,2011,Kochi Tuskers Kerala
21.76,117.17,0,3,70,0,25,2010,30,4,DJ Bravo,,457,2008,Mumbai Indians
20.88,109.91,2,3,92,0,27,2014,27,1,MS Bisla,,543,2011,Kolkata Knight Riders
1.0,50.0,0,0,1,0,1,2010,8,0,SE Bond,,1,2010,Kolkata Knight Riders
5.5,66.66,0,0,9,0,6,2021,22,2,M Ashwin,,22,2019,Kings XI Punjab
11.07,145.45,5,0,45,0,15,2019,28,2,R Ashwin,,144,2018,Kings XI Punjab
37.86,133.49,0,6,87,0,30,2023,31,8,HH Pandya,,833,2022,Gujarat Titans
24.84,184.57,6,1,79,0,25,2024,45,12,Rashid Khan,,323,2022,Gujarat Titans
26.0,118.18,0,0,15,0,2,2011,2,1,NL McCullum,,26,2011,Pune Warriors
21.75,114.47,0,0,31,0,4,2012,4,0,AP Majumdar,,87,2012,Pune Warriors
30.26,132.57,2,5,65,0,28,2017,30,5,KD Karthik,,696,2016,Gujarat Lions
0.0,0.0,1,0,0,0,2,2017,10,1,S Kaushik,,0,2016,Gujarat Lions
0.0,0.0,0,0,,0,0,2022,1,0,AF Milne,,0,2022,Chennai Super Kings
28.9,142.6,0,2,63,0,13,2024,13,2,DJ Mitchell,,318,2024,Chennai Super Kings
0.0,40.0,0,0,2,0,2,2017,12,2,JD Unadkat,,2,2017,Rising Pune Supergiants
0.0,0.0,0,0,,0,0,2024,3,0,M Siddharth,,0,2024,Lucknow Super Giants
15.68,115.13,2,1,51,0,17,2022,21,1,PK Garg,,251,2020,Sunrisers Hyderabad
0.0,128.57,0,0,9,0,1,2022,1,1,S Gopal,,9,2022,Sunrisers Hyderabad
38.2,122.43,0,1,78,0,7,2021,8,2,KS Bharat,,191,2021,Royal Challengers Bangalore
5.0,62.5,0,0,5,0,2,2024,46,1,YS Chahal,,5,2022,Rajasthan Royals
11.87,179.24,0,0,34,0,8,2017,10,0,CR Brathwaite,,95,2016,Delhi Daredevils
16.0,110.34,0,0,14,0,3,2020,3,1,AT Carey,,32,2020,Delhi Daredevils
13.2,115.78,0,0,15,0,10,2010,16,5,RJ Harris,,66,2009,Deccan Chargers
10.75,74.13,0,0,25,0,5,2012,5,1,IR Jaggi,,43,2011,Deccan Chargers
0.5,11.11,1,0,1,0,3,2011,9,1,S Sreesanth,,1,2011,Kochi Tuskers Kerala
23.0,133.72,1,0,49,0,10,2024,10,0,D Brevis,,230,2022,Mumbai Indians
9.71,87.17,5,0,16,0,30,2024,133,23,JJ Bumrah,,68,2013,Mumbai Indians
10.33,206.66,0,0,17,0,3,2015,4,0,J Botha,,31,2015,Kolkata Knight Riders
6.0,100.0,0,0,5,0,3,2011,4,2,MV Boucher,,6,2011,Kolkata Knight Riders
2.5,35.71,2,0,4,0,7,2014,33,5,P Awana,,5,2012,Kings XI Punjab
21.22,129.05,2,2,80,0,20,2013,22,2,Azhar Mahmood,,382,2012,Kings XI Punjab
23.54,124.65,3,5,81,0,37,2024,37,2,WP Saha,,824,2022,Gujarat Titans
47.0,139.16,0,6,103,1,25,2024,25,3,B Sai Sudharsan,,1034,2022,Gujarat Titans
17.64,104.66,4,0,42,0,19,2013,23,5,M Manhas,,247,2011,Pune Warriors
21.11,122.58,0,0,38,0,11,2013,14,2,MR Marsh,,190,2011,Pune Warriors
9.33,155.55,0,0,10,0,6,2017,20,3,DS Kulkarni,,28,2016,Gujarat Lions
6.4,91.42,1,0,15,0,9,2017,22,4,P Kumar,,32,2016,Gujarat Lions
0.0,0.0,0,0,,0,0,2020,1,0,Monu Kumar,,0,2020,Chennai Super Kings
0.0,100.0,0,0,2,0,1,2015,2,1,RG More,,2,2015,Chennai Super Kings
9.0,75.0,1,0,5,0,5,2017,11,4,Washington Sundar,,9,2017,Rising Pune Supergiants
2.5,62.5,1,0,5,0,2,2017,11,0,A Zampa,,5,2016,Rising Pune Supergiants
28.84,148.51,4,5,124,1,39,2024,40,6,MP Stoinis,,952,2022,Lucknow Super Giants
0.0,50.0,0,0,2,0,1,2023,2,1,Swapnil Singh,,2,2023,Lucknow Super Giants
10.4,118.18,2,0,35,0,5,2020,8,0,SP Goswami,,52,2018,Sunrisers Hyderabad
27.0,152.83,0,0,36,0,3,2019,3,0,MJ Guptill,,81,2019,Sunrisers Hyderabad
0.0,0.0,1,0,0,0,1,2012,1,0,RR Bhatkal,,0,2012,Royal Challengers Bangalore
15.66,122.6,0,0,21,0,13,2017,22,4,STR Binny,,141,2016,Royal Challengers Bangalore
2.0,22.22,0,0,2,0,1,2014,1,0,UBT Chand,,2,2014,Rajasthan Royals
0.0,57.14,0,0,4,0,2,2013,12,2,A Chandila,,4,2012,Rajasthan Royals
15.07,96.07,3,0,41,0,13,2013,13,0,UBT Chand,,196,2011,Delhi Daredevils
8.0,72.72,0,0,4,0,5,2010,8,4,Jaskaran Singh,,8,2009,Deccan Chargers
8.33,106.38,0,0,18,0,7,2011,13,1,R Vinay Kumar,,50,2011,Kochi Tuskers Kerala
25.09,145.98,1,1,77,0,24,2017,24,3,JC Buttler,,527,2016,Mumbai Indians
0.0,0.0,0,0,,0,0,2013,1,0,YS Chahal,,0,2013,Mumbai Indians
0.0,62.5,0,0,5,0,1,2017,6,1,TA Boult,,5,2017,Kolkata Knight Riders
5.5,110.0,0,0,6,0,2,2019,2,0,CR Brathwaite,,11,2019,Kolkata Knight Riders
25.8,135.78,0,2,61,0,29,2015,30,9,GJ Bailey,,516,2014,Kings XI Punjab
26.23,148.91,1,2,108,1,22,2024,22,1,JM Bairstow,,551,2022,Kings XI Punjab
13.0,216.66,0,0,13,0,2,2024,10,1,R Sai Kishore,,13,2022,Gujarat Titans
0.0,0.0,0,0,,0,0,2024,5,0,S Sandeep Warrier,,0,2024,Gujarat Titans
21.35,121.05,1,0,40,0,18,2013,20,4,AD Mathews,,299,2012,Pune Warriors
24.92,140.5,1,3,72,0,27,2017,27,0,BB McCullum,,673,2016,Gujarat Lions
23.62,144.83,3,2,71,0,59,2013,78,24,JA Morkel,,827,2008,Chennai Super Kings
7.0,87.5,1,0,7,0,6,2013,16,4,CH Morris,,14,2013,Chennai Super Kings
0.0,0.0,0,0,,0,0,2024,19,0,Yash Thakur,,0,2023,Lucknow Super Giants
10.5,116.66,0,0,16,0,2,2024,2,0,AJ Turner,,21,2024,Lucknow Super Giants
24.66,125.42,0,0,45,0,6,2018,6,0,AD Hales,,148,2018,Sunrisers Hyderabad
6.33,111.76,1,0,18,0,3,2009,3,0,R Bishnoi,,19,2009,Royal Challengers Bangalore
18.5,123.33,0,0,20,0,2,2015,2,0,MS Bisla,,37,2015,Royal Challengers Bangalore
6.0,109.09,0,0,7,0,3,2013,13,1,AA Chavan,,12,2011,Rajasthan Royals
6.0,75.0,0,0,6,0,1,2009,1,0,SD Chitnis,,6,2009,Rajasthan Royals
16.0,88.88,0,0,16,0,1,2013,1,0,B Chipli,,16,2013,Delhi Daredevils
13.0,78.78,0,0,13,0,3,2018,4,1,DT Christian,,26,2018,Delhi Daredevils
12.0,92.3,0,0,19,0,3,2012,5,1,AA Jhunjhunwala,,24,2012,Deccan Chargers
3.0,37.5,0,0,3,0,1,2008,3,0,D Kalyankrishna,,3,2008,Deccan Chargers
4.0,93.33,4,0,10,0,10,2021,39,3,RD Chahar,,28,2019,Mumbai Indians
17.0,117.24,1,1,58,0,6,2016,7,0,UBT Chand,,102,2015,Mumbai Indians
0.0,120.0,0,0,6,0,1,2017,1,1,DM Bravo,,6,2017,Kolkata Knight Riders
0.0,300.0,0,0,9,0,1,2019,2,1,KC Cariappa,,9,2015,Kolkata Knight Riders
1.0,33.33,1,0,1,0,2,2014,9,1,L Balaji,,1,2014,Kings XI Punjab
21.0,100.0,0,0,33,0,3,2010,3,1,AB Barath,,42,2010,Kings XI Punjab
2.0,40.0,0,0,2,0,1,2022,3,0,PJ Sangwan,,2,2022,Gujarat Titans
18.14,169.33,1,1,58,0,7,2024,7,0,M Shahrukh Khan,,127,2024,Gujarat Titans
2.0,50.0,0,0,2,0,1,2013,3,0,BAW Mendis,,2,2013,Pune Warriors
14.2,110.93,0,0,37,0,6,2012,7,1,MD Mishra,,71,2011,Pune Warriors
0.0,0.0,1,0,0,0,1,2017,2,0,MM Patel,,0,2017,Gujarat Lions
2.0,66.66,0,0,2,0,1,2017,1,0,IK Pathan,,2,2017,Gujarat Lions
6.0,100.0,0,0,4,0,2,2024,14,1,Mukesh Choudhary,,6,2022,Chennai Super Kings
0.0,0.0,1,0,0,0,1,2008,2,0,A Mukund,,0,2008,Chennai Super Kings
0.0,0.0,0,0,,0,0,2022,3,0,AJ Tye,,0,2022,Lucknow Super Giants
40.5,191.55,3,4,102,1,15,2024,15,1,TM Head,,567,2024,Sunrisers Hyderabad
29.84,128.05,0,1,50,0,21,2010,27,8,MV Boucher,,388,2008,Royal Challengers Bangalore
29.0,123.4,0,0,26,0,4,2023,5,2,MG Bracewell,,58,2023,Royal Challengers Bangalore
8.0,133.33,0,0,8,0,1,2019,2,0,P Chopra,,8,2018,Rajasthan Royals
12.88,170.58,1,0,32,0,14,2014,25,5,KK Cooper,,116,2012,Rajasthan Royals
40.6,130.12,0,3,75,0,7,2010,8,2,PD Collingwood,,203,2010,Delhi Daredevils
7.25,90.62,0,0,7,0,8,2016,17,4,NM Coulter-Nile,,29,2014,Delhi Daredevils
15.86,105.77,3,1,52,0,17,2010,17,2,VVS Laxman,,238,2008,Deccan Chargers
0.0,0.0,1,0,0,0,1,2011,1,0,MJ Lumb,,0,2011,Deccan Chargers
5.71,102.56,4,0,18,0,11,2024,28,4,PP Chawla,,40,2021,Mumbai Indians
9.0,180.0,0,0,15,0,2,2008,3,0,SD Chitnis,,18,2008,Mumbai Indians
0.0,0.0,0,0,,0,0,2024,1,0,PVD Chameera,,0,2024,Kolkata Knight Riders
5.5,78.57,1,0,11,0,2,2022,2,0,RA Bawa,,11,2022,Kings XI Punjab
7.0,107.69,1,0,9,0,3,2016,3,1,F Behardien,,14,2016,Kings XI Punjab
13.0,100.0,1,0,17,0,3,2023,3,1,MD Shanaka,,26,2023,Gujarat Titans
23.7,136.61,1,3,63,0,21,2024,25,4,V Shankar,,403,2022,Gujarat Titans
0.0,0.0,0,0,,0,0,2011,1,0,SS Mundhe,,0,2011,Pune Warriors
8.0,88.88,0,0,5,0,2,2013,4,1,AG Murtaza,,8,2012,Pune Warriors
33.64,135.86,0,6,84,0,29,2017,29,4,SK Raina,,841,2016,Gujarat Lions
29.5,147.5,0,0,31,0,3,2017,3,1,JJ Roy,,59,2017,Gujarat Lions
2.25,69.23,1,0,4,0,6,2010,40,2,M Muralidaran,,9,2008,Chennai Super Kings
0.0,0.0,0,0,,0,0,2024,9,0,Mustafizur Rahman,,0,2024,Chennai Super Kings
9.0,128.57,0,0,9,0,1,2023,3,0,JD Unadkat,,9,2023,Lucknow Super Giants
14.5,131.81,0,0,19,0,2,2023,3,0,M Vohra,,29,2022,Lucknow Super Giants
27.96,128.83,2,5,74,0,37,2017,42,10,MC Henriques,,755,2014,Sunrisers Hyderabad
18.55,121.89,0,0,47,0,12,2021,16,3,JO Holder,,167,2014,Sunrisers Hyderabad
5.33,41.02,1,0,8,0,18,2021,113,12,YS Chahal,,32,2014,Royal Challengers Bangalore
8.33,80.64,0,0,16,0,3,2008,3,0,S Chanderpaul,,25,2008,Royal Challengers Bangalore
0.0,50.0,0,0,1,0,1,2022,1,1,NM Coulter-Nile,,1,2022,Rajasthan Royals
83.0,133.87,0,1,54,0,4,2020,5,3,TK Curran,,83,2020,Rajasthan Royals
15.4,145.28,0,0,24,0,9,2017,12,4,PJ Cummins,,77,2017,Delhi Daredevils
21.0,123.52,0,0,21,0,2,2021,3,1,TK Curran,,21,2021,Delhi Daredevils
6.0,66.66,0,0,6,0,1,2012,1,0,CA Lynn,,6,2012,Deccan Chargers
0.0,175.0,0,0,7,0,1,2011,1,1,I Malhotra,,7,2011,Deccan Chargers
3.5,63.63,1,0,8,0,5,2024,10,1,G Coetzee,,14,2024,Mumbai Indians
9.5,146.15,0,0,24,0,5,2021,13,1,NM Coulter-Nile,,38,2013,Mumbai Indians
10.16,108.28,5,0,22,0,29,2019,70,11,PP Chawla,,183,2014,Kolkata Knight Riders
8.83,74.64,0,0,24,0,6,2009,7,0,A Chopra,,53,2008,Kolkata Knight Riders
6.0,85.71,1,0,6,0,2,2013,17,1,BA Bhatt,,6,2011,Kings XI Punjab
26.0,144.44,0,0,35,0,9,2013,15,5,Bipul Sharma,,104,2010,Kings XI Punjab
2.0,40.0,0,0,2,0,1,2024,1,0,BR Sharath,,2,2024,Gujarat Titans
1.0,12.5,1,0,2,0,4,2024,26,2,MM Sharma,,2,2023,Gujarat Titans
11.0,90.41,1,0,25,0,9,2013,11,3,AM Nayar,,66,2013,Pune Warriors
0.0,91.66,0,0,9,0,2,2012,13,2,A Nehra,,11,2012,Pune Warriors
1.0,50.0,1,0,1,0,3,2017,7,1,PJ Sangwan,,2,2016,Gujarat Lions
0.0,0.0,0,0,,0,0,2017,2,0,NB Singh,,0,2017,Gujarat Lions
0.0,0.0,0,0,0,0,1,2013,5,1,DP Nannes,,0,2013,Chennai Super Kings
11.0,220.0,0,0,10,0,2,2023,4,1,MA Wood,,11,2023,Lucknow Super Giants
13.81,117.66,1,0,34,0,36,2019,47,9,DJ Hooda,,373,2016,Sunrisers Hyderabad
0.0,160.0,0,0,16,0,1,2023,1,1,AJ Hosein,,16,2023,Sunrisers Hyderabad
6.0,120.0,1,0,9,0,3,2024,3,0,SD Chauhan,,18,2024,Royal Challengers Bangalore
6.66,71.42,0,0,10,0,3,2008,3,0,B Chipli,,20,2008,Royal Challengers Bangalore
8.0,133.33,0,0,8,0,1,2014,1,0,BCJ Cutting,,8,2014,Rajasthan Royals
13.37,100.94,1,0,41,0,8,2010,9,0,P Dogra,,107,2010,Rajasthan Royals
0.0,0.0,0,0,,0,0,2018,1,0,CJ Dala,,0,2018,Delhi Daredevils
14.0,93.33,0,0,15,0,2,2010,3,0,MR Marsh,,28,2010,Deccan Chargers
19.0,152.0,0,0,37,0,9,2019,12,3,BCJ Cutting,,114,2018,Mumbai Indians
4.66,116.66,0,0,6,0,3,2017,8,0,NM Coulter-Nile,,14,2017,Kolkata Knight Riders
21.8,122.47,1,1,75,0,10,2010,10,0,MS Bisla,,218,2010,Kings XI Punjab
44.97,147.7,3,10,129,4,45,2024,45,5,Shubman Gill,,1799,2022,Gujarat Titans
5.0,38.46,0,0,8,0,2,2011,2,0,TD Paine,,10,2011,Pune Warriors
25.59,149.33,3,5,74,0,24,2017,24,2,DR Smith,,563,2016,Gujarat Lions
14.5,158.9,0,0,36,0,9,2015,12,1,P Negi,,116,2014,Chennai Super Kings
1.0,14.28,1,0,1,0,4,2015,20,3,A Nehra,,1,2014,Chennai Super Kings
0.0,0.0,0,0,,0,0,2024,4,0,MP Yadav,,0,2024,Lucknow Super Giants
5.5,137.5,1,0,14,0,4,2024,5,0,Yudhvir Singh,,22,2023,Lucknow Super Giants
13.75,105.76,0,0,19,0,5,2021,6,1,KM Jadhav,,55,2021,Sunrisers Hyderabad
25.0,125.0,0,0,15,0,3,2017,5,2,A Choudhary,,25,2017,Royal Challengers Bangalore
2.5,51.28,1,0,9,0,9,2021,11,1,DT Christian,,20,2013,Royal Challengers Bangalore
17.0,154.54,0,0,30,0,2,2010,3,0,AP Dole,,34,2010,Rajasthan Royals
0.0,0.0,1,0,0,0,1,2011,3,0,ND Doshi,,0,2011,Rajasthan Royals
